EmployeeID,Name,Department,Age,Salary,City
1,Karan,Sales,37,40877,Mumbai
2,Pooja,Finance,47,47730,Delhi
3,Ishita,Sales,30,48180,Delhi
4,Aman,Sales,58,84274,Pune
5,Sneha,Sales,50,44342,Chandigarh
6,Krishna,IT,31,97419,Jaipur
7,Sai,Sales,57,90004,Jaipur
8,Vivaan,HR,47,61364,Mumbai
9,Aarav,HR,39,117204,Jaipur
10,Priya,Marketing,54,45826,Jaipur
11,Pooja,Sales,24,81777,Delhi
12,Krishna,HR,58,118390,Pune
13,Kabir,HR,31,83813,Delhi
14,Pooja,IT,52,53608,Jaipur
15,Rohit,HR,42,45634,Mumbai
16,Diya,IT,58,42571,Chandigarh
17,Vihaan,Sales,40,91816,Mumbai
18,Meera,Finance,41,81320,Pune
19,Yash,IT,45,68998,Chandigarh
20,Arjun,Marketing,38,59034,Jaipur
21,Arjun,Sales,60,32273,Jaipur
22,Vivaan,Sales,28,88601,Delhi
23,Rohit,HR,27,111135,Pune
24,Rohit,IT,54,101342,Jaipur
25,Pooja,Finance,57,75925,Mumbai
26,Aarav,Marketing,35,91929,Pune
27,Kabir,Sales,49,63409,Chandigarh
28,Rahul,IT,49,25737,Chandigarh
29,Priya,Finance,42,75178,Chandigarh
30,Vivaan,HR,60,37275,Jaipur
31,Rahul,IT,59,95321,Pune
32,Vihaan,Marketing,58,52199,Delhi
33,Ishita,Sales,31,33821,Chandigarh
34,Ananya,Sales,45,64151,Delhi
35,Ananya,Marketing,32,108917,Delhi
36,Ananya,HR,59,92680,Jaipur
37,Diya,HR,36,25434,Jaipur
38,Vihaan,Finance,60,84755,Jaipur
39,Arjun,IT,34,41056,Pune
40,Vivaan,Finance,58,108210,Pune
41,Arjun,HR,26,64849,Pune
42,Vivaan,HR,45,64659,Pune
43,Rahul,Marketing,38,99837,Jaipur
44,Rahul,IT,25,118453,Pune
45,Aarav,HR,30,30610,Mumbai
46,Sai,Sales,53,103932,Delhi
47,Priya,HR,21,110705,Chandigarh
48,Krishna,HR,39,47948,Jaipur
49,Karan,IT,57,60959,Jaipur
50,Yash,HR,41,28044,Mumbai
51,Neha,Marketing,46,61065,Pune
52,Aman,IT,29,31680,Delhi
53,Riya,HR,39,44592,Mumbai
54,Aman,Marketing,25,71876,Jaipur
55,Sneha,Finance,60,37785,Delhi
56,Krishna,Finance,59,26388,Mumbai
57,Priya,Finance,26,39944,Jaipur
58,Vivaan,HR,30,93098,Pune
59,Aman,Marketing,33,93529,Chandigarh
60,Kabir,Sales,28,36308,Chandigarh
61,Krishna,Marketing,30,45339,Delhi
62,Riya,Sales,51,103775,Mumbai
63,Aditya,Finance,34,104111,Pune
64,Aditya,HR,59,25961,Chandigarh
65,Aditya,Marketing,40,89952,Delhi
66,Meera,Finance,34,93348,Chandigarh
67,Riya,Finance,29,44467,Chandigarh
68,Rahul,Marketing,39,111372,Chandigarh
69,Kabir,Sales,60,98086,Jaipur
70,Meera,IT,53,42018,Pune
71,Pooja,HR,37,100374,Chandigarh
72,Ishita,IT,52,93361,Mumbai
73,Vihaan,HR,55,50865,Jaipur
74,Krishna,IT,31,86407,Delhi
75,Krishna,Finance,54,69742,Pune
76,Aarav,Sales,34,48954,Chandigarh
77,Kabir,Finance,40,41114,Chandigarh
78,Ananya,Finance,32,117261,Mumbai
79,Sai,Sales,53,88062,Delhi
80,Aarav,HR,35,38835,Pune
81,Rahul,IT,36,56592,Pune
82,Ishita,IT,21,27950,Jaipur
83,Diya,IT,36,32511,Chandigarh
84,Rahul,IT,38,34068,Mumbai
85,Ananya,Marketing,42,109468,Pune
86,Aman,HR,54,61421,Chandigarh
87,Rahul,Finance,26,63170,Delhi
88,Sneha,Finance,57,51497,Jaipur
89,Vihaan,Marketing,48,59635,Pune
90,Krishna,HR,50,49385,Delhi
91,Vihaan,IT,38,91238,Chandigarh
92,Pooja,HR,30,80870,Mumbai
93,Vivaan,Finance,48,115602,Jaipur
94,Krishna,IT,46,83606,Jaipur
95,Rohit,Sales,28,87258,Delhi
96,Riya,Marketing,60,38307,Jaipur
97,Arjun,IT,52,90801,Jaipur
98,Sai,Marketing,55,35042,Mumbai
99,Rahul,Finance,39,63233,Jaipur
100,Sai,Sales,45,114255,Delhi
101,Karan,Marketing,40,53617,Mumbai
